emoji,feeling
😀, Grinning face
❤️, Red heart
😂, Face with tears of joy
🐱, Cat face
🌟, Glowing star
🍕, Slice of pizza
🌍, Earth globe Europe-Africa
🚀, Rocket
🎉, Party popper
📚, Books
😎, Smiling face with sunglasses
👍, Thumbs up
😢, Crying face
🦄, Unicorn
🍣, Sushi
🌈, Rainbow
🏖, Beach with umbrella
🌺, Hibiscus
🐶, Dog face
🕶, Sunglasses
🔥, Fire
🌸, Cherry blossom
⚽, Soccer ball
🎵, Musical note
🌙, Crescent moon
🧁, Cupcake
🏆, Trophy
💼, Briefcase
🌞, Sun with face
📷, Camera
🚴, Person biking
💧, Droplet
🌻, Sunflower
🥂, Clinking glasses
🍔, Hamburger
🐼, Panda face
🏡, House
🎨, Artist palette
🚗, Car
🍦, Ice cream
🌍, Earth globe Europe-Africa
✈️, Airplane
🎂, Birthday cake
💡, Light bulb
📅, Calendar
💌, Love letter
🎬, Clapper board
📞, Telephone
💻, Laptop
🧳, Luggage
🎤, Microphone
📖, Open book
🥇, 1st place medal
💎, Gem stone
🚦, Traffic light
🌹, Rose
🌊, Water wave
🎹, Musical keyboard
🎧, Headphone
🧘‍♀️, Woman in lotus position
🎭, Performing arts
🚢, Ship
🍉, Watermelon
🌠, Shooting star
🛌, Person in bed
🛤, Railway track
🛠, Hammer and wrench
💪, Flexed biceps
🏅, Sports medal
💉, Syringe
🩺, Stethoscope
🕰, Mantelpiece clock
📫, Closed mailbox with raised flag
🧭, Compass
🎼, Musical score
💳, Credit card
🎪, Circus tent
🚂, Locomotive
💿, Optical disk
🕯, Candle
📻, Radio
📐, Triangular ruler
🧮, Abacus
🎯, Direct hit
🛎, Bellhop bell
🛡, Shield
🧤, Gloves
🧨, Firecracker
📊, Bar chart
🧱, Brick
🎲, Game die
🚜, Tractor
🚶, Person walking
📌, Pushpin
😃, Smiling face with open mouth
😢, Crying face
😇, Smiling face with halo
😜, Face with stuck-out tongue and winking eye
😷, Face with medical mask
😡, Pouting face
😎, Smiling face with sunglasses
😴, Sleeping face
🤔, Thinking face
🤗, Hugging face
🤩, Star-struck
🤯, Exploding head
🤪, Zany face
🤑, Money-mouth face
🤬, Face with symbols on mouth
🥶, Cold face
🥳, Partying face
🥺, Pleading face
🤧, Sneezing face
😵, Dizzy face
🥱, Yawning face
🤮, Face vomiting
🥴, Woozy face
🤓, Nerd face
🤠, Cowboy hat face
🤡, Clown face
🤥, Lying face
🤫, Shushing face
🤭, Face with hand over mouth
🧐, Face with monocle
🥸, Disguised face
🥵, Hot face
🥺, Pleading face
👶, Baby
👦, Boy
👧, Girl
👨, Man
👩, Woman
👱‍♂️, Man with blond hair
👱‍♀️, Woman with blond hair
👴, Old man
👵, Old woman
👨‍⚕️, Man health worker
👩‍⚕️, Woman health worker
👨‍🎓, Man student
👩‍🎓, Woman student
👨‍🏫, Man teacher
👩‍🏫, Woman teacher
👨‍⚖️, Man judge
👩‍⚖️, Woman judge
👨‍🌾, Man farmer
👩‍🌾, Woman farmer
👨‍🍳, Man cook
👩‍🍳, Woman cook
👨‍🔧, Man mechanic
👩‍🔧, Woman mechanic
👨‍🏭, Man factory worker
👩‍🏭, Woman factory worker
👨‍💼, Man office worker
👩‍💼, Woman office worker
👨‍🔬, Man scientist
👩‍🔬, Woman scientist
👨‍💻, Man technologist
👩‍💻, Woman technologist
👨‍🎤, Man singer
👩‍🎤, Woman singer
👨‍🎨, Man artist
👩‍🎨, Woman artist
👨‍✈️, Man pilot
👩‍✈️, Woman pilot
👨‍🚀, Man astronaut
👩‍🚀, Woman astronaut
👨‍🚒, Man firefighter
👩‍🚒, Woman firefighter
👮‍♂️, Man police officer
👮‍♀️, Woman police officer
🕵️‍♂️, Man detective
🕵️‍♀️, Woman detective
💂‍♂️, Man guard
💂‍♀️, Woman guard
👷‍♂️, Man construction worker
👷‍♀️, Woman construction worker
🤴, Prince
👸, Princess
👳‍♂️, Man with turban
👳‍♀️, Woman with turban
👲, Man with Chinese cap
🧕, Woman with headscarf
🧔, Bearded person
👱‍♂️, Blond-haired man
👱‍♀️, Blond-haired woman
👨‍🦳, Man with white hair
👩‍🦳, Woman with white hair
👨‍🦰, Man with red hair
👩‍🦰, Woman with red hair
👨‍🦲, Bald man
👩‍🦲, Bald woman
🧓, Older person
🧑, Person
👭, Women holding hands
👫, Man and woman holding hands
👬, Men holding hands
👭, Women holding hands
💏, Kiss
💑, Couple with heart
👪, Family
🗣, Speaking head
👤, Bust in silhouette
👥, Busts in silhouette
🧑‍⚕️, Health worker
🧑‍🎓, Student
🧑‍🏫, Teacher
🧑‍⚖️, Judge
🧑‍🌾, Farmer
🧑‍🍳, Cook
🧑‍🔧, Mechanic
🧑‍🏭, Factory worker
🧑‍💼, Office worker
🧑‍🔬, Scientist
🧑‍💻, Technologist
🧑‍🎤, Singer
🧑‍🎨, Artist
🧑‍✈️, Pilot
🧑‍🚀, Astronaut
🧑‍🚒, Firefighter
👮, Police officer
🕵️, Detective
💂, Guard
👷, Construction worker
🤴, Prince
👸, Princess
👳, Person wearing turban
👲, Person with Chinese cap
🧕, Woman with headscarf
👱, Blond-haired person
👰, Person with veil
🤵, Person in tuxedo
🤰, Pregnant woman
🤱, Breast-feeding
👩‍🍼, Woman feeding baby
👨‍🍼, Man feeding baby
🧑‍🍼, Person feeding baby
👼, Baby angel
🎅, Santa Claus
🤶, Mrs. Claus
🧑‍🎄, Mx Claus
🦸, Superhero
🦹, Supervillain
🧙, Mage
🧚, Fairy
🧛, Vampire
🧜, Mermaid
🧝, Elf
🧞, Genie
🧟, Zombie
🧌, Troll
💆, Person getting massage
💇, Person getting haircut
🚶, Person walking
🏃, Person running
💃, Woman dancing
🕺, Man dancing
🕴, Person in suit levitating
👯, People with bunny ears
🧖, Person in steamy room
🧗, Person climbing
🤺, Person fencing
🏇, Horse racing
⛷, Skier
🏂, Snowboarder
🏌️, Person golfing
🏄, Person surfing
🚣, Person rowing boat
🏊, Person swimming
🤽, Person playing water polo
🤾, Person playing handball
🧘, Person in lotus position
🛀, Person taking bath
🛌, Person in bed
🕴, Man in business suit levitating
🏋️, Person lifting weights
🚴, Person biking
🚵, Person mountain biking
🕴, Man in suit levitating
🧗‍♂️, Man climbing
🧗‍♀️, Woman climbing
🏄‍♂️, Man surfing
